
VERIFICANDO 3.700000
3.700000	3.700000


VERIFICANDO 1.500000
1.500000	1.500000


VERIFICANDO 0.200000
0.200000	0.200000


VERIFICANDO -1.200000
-1.200000	-1.200000


VERIFICANDO -1.200000
-1.200000	-1.200000


VERIFICANDO 1.100000
1.100000	1.100000


VERIFICANDO 3.300000
3.300000	3.300000


VERIFICANDO 0.000000
0.000000	0.000000


VERIFICANDO 18.400000
18.400000	18.400000


VERIFICANDO 5.800000
5.800000	5.800000


VERIFICANDO 20.900000
20.900000	20.900000


VERIFICANDO 23.100000
23.100000	23.100000


VERIFICANDO 24.500000
24.500000	24.500000


VERIFICANDO 25.900000
25.900000	25.900000


VERIFICANDO 25.800000
25.800000	25.800000


VERIFICANDO 23.500000
23.500000	23.500000


VERIFICANDO 11.300000
11.300000	11.300000


VERIFICANDO 13.800000
13.800000	13.800000


VERIFICANDO 16.300000
16.300000	16.300000


VERIFICANDO 18.800000
18.800000	18.800000


VERIFICANDO 6.200000
6.200000	6.200000


VERIFICANDO 21.400000
21.400000	21.400000


VERIFICANDO 24.700000
24.700000	24.700000


VERIFICANDO 8.700000
8.700000	8.700000


VERIFICANDO 10.800000
10.800000	10.800000


VERIFICANDO 13.400000
13.400000	13.400000


VERIFICANDO 15.900000
15.900000	15.900000


VERIFICANDO 8.300000
8.300000	8.300000


VERIFICANDO 4.900000
4.900000	4.900000


VERIFICANDO 4.900000
4.900000	4.900000


VERIFICANDO 3.700000
3.700000	3.700000


VERIFICANDO 3.500000
3.500000	3.500000


VERIFICANDO 3.600000
3.600000	3.600000


VERIFICANDO 2.400000
2.400000	2.400000


VERIFICANDO 2.400000
2.400000	2.400000


VERIFICANDO 3.400000
3.400000	3.400000


VERIFICANDO 3.500000
3.500000	3.500000


VERIFICANDO 2.200000
2.200000	2.200000


VERIFICANDO 2.300000
2.300000	2.300000


VERIFICANDO 1.000000
1.000000	1.000000


VERIFICANDO 1.100000
1.100000	1.100000


VERIFICANDO 2.100000
2.100000	2.100000


VERIFICANDO 0.900000
0.900000	0.900000


VERIFICANDO 1.000000
1.000000	1.000000


VERIFICANDO -0.300000
-0.300000	-0.300000


VERIFICANDO -0.200000
-0.200000	-0.200000


VERIFICANDO 3.300000
3.300000	3.300000


VERIFICANDO 2.100000
2.100000	2.100000


VERIFICANDO 16.000000
16.000000	16.000000


VERIFICANDO 16.000000
16.000000	16.000000


VERIFICANDO 17.200000
17.200000	17.200000


VERIFICANDO 17.200000
17.200000	17.200000


VERIFICANDO 9.700000
9.700000	9.700000


VERIFICANDO 18.400000
18.400000	18.400000


VERIFICANDO 17.300000
17.300000	17.300000


VERIFICANDO 17.300000
17.300000	17.300000


VERIFICANDO 9.900000
9.900000	9.900000


VERIFICANDO 18.600000
18.600000	18.600000


VERIFICANDO 9.800000
9.800000	9.800000


VERIFICANDO 18.500000
18.500000	18.500000


VERIFICANDO 11.000000
11.000000	11.000000


VERIFICANDO 4.700000
4.700000	4.700000


VERIFICANDO 19.700000
19.700000	19.700000


VERIFICANDO 11.000000
11.000000	11.000000


VERIFICANDO 4.600000
4.600000	4.600000


VERIFICANDO 19.700000
19.700000	19.700000


VERIFICANDO 12.200000
12.200000	12.200000


